,incoming,outgoing,place_type,underfed,overfed,fitting,total_traces,activated_traces,freq_underfed,freq_overfed,freq_fitting,rel_underfed,rel_overfed,rel_fitting,tau_rel_underfed,tau_rel_overfed,tau_rel_fitting,tau_freq_underfed,tau_freq_overfed,tau_freq_fitting,remove,Iteration
0,['start_tau'],['e'],['output_of_pre'],0,100,0,100,100,0.0,1.0,0.0,0.0,1.0,0.0,False,True,False,False,True,False,False,0
1,['start_tau'],['b'],['output_of_pre'],0,100,0,100,100,0.0,1.0,0.0,0.0,1.0,0.0,False,True,False,False,True,False,False,0
2,['b'],['c'],['normal'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,1
3,['a'],['b'],['output_of_pre'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,1
4,['c'],['f'],['input_of_post'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,1
5,['a'],['c'],['output_of_pre'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,2
6,['b'],['tau_0'],['output_of_pre'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,3
7,['tau_0'],['f'],['input_of_post'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,3
8,['tau_0'],['d'],['input_of_post'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,3
9,['c'],['f'],['output_of_pre'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,4
10,['f'],['h'],['input_of_post'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,4
11,['a'],['g'],['input_of_post'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,5
12,['g'],['h'],['normal'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,5
13,['a'],['e'],['normal'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,5
14,['c'],['d'],['output_of_pre'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,5
15,['e'],['d'],['output_of_pre'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,5
16,['b'],['c'],['normal'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,5
17,['g'],['end_tau'],['output_of_pre'],100,0,0,100,100,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,True,False,False,True,6
18,['d'],['end_tau'],['output_of_pre'],100,0,0,100,100,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,True,False,False,True,6
19,['f'],['h'],['output_of_pre'],0,0,100,100,100,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,True,False,7
